epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,14614.2,1.98264,1.26382,0.00192,0.84691,0.76847,0.80383,0.62158,1.20571,0.74788,0.00229,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885
33,15019,1.99978,1.25758,0.00189,0.84337,0.76504,0.80273,0.62206,1.20633,0.74091,0.00229,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
34,15424.3,1.98164,1.25079,0.00188,0.83683,0.76772,0.80332,0.62253,1.2058,0.74509,0.00228,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
35,15830.2,1.98107,1.24716,0.00187,0.84679,0.76612,0.8046,0.62379,1.20348,0.7398,0.00227,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
36,16235.5,1.97526,1.24334,0.00186,0.84672,0.76732,0.80513,0.62394,1.19665,0.73893,0.00225,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225
37,16637.2,1.96278,1.23068,0.00185,0.84627,0.76971,0.80766,0.62592,1.19617,0.7306,0.00225,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
38,17038.1,1.96297,1.22441,0.00185,0.84983,0.77003,0.80816,0.6256,1.19293,0.72765,0.00223,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895
39,17440.3,1.94537,1.21821,0.00183,0.84885,0.76846,0.80671,0.62574,1.18917,0.72987,0.00222,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
40,17842.7,1.95487,1.21302,0.00183,0.85548,0.76703,0.80785,0.62683,1.18913,0.72301,0.00222,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
41,18246.2,1.96161,1.215,0.00182,0.85114,0.77126,0.80908,0.62739,1.18788,0.72338,0.00222,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
42,18652.3,1.93984,1.20825,0.00182,0.85297,0.77026,0.80891,0.62684,1.18694,0.72315,0.00221,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235
43,19055.7,1.92498,1.18833,0.0018,0.85222,0.771,0.80792,0.62668,1.18577,0.72261,0.00221,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
44,19460.7,1.93856,1.18421,0.0018,0.85328,0.77097,0.80883,0.62614,1.1842,0.7239,0.0022,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905
45,19861.5,1.91226,1.17572,0.00178,0.85358,0.77087,0.81065,0.62885,1.1856,0.71687,0.00221,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
46,20267,1.92652,1.18078,0.00177,0.84937,0.77504,0.81039,0.62853,1.18368,0.71427,0.00221,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
47,20672.2,1.91054,1.16576,0.00176,0.85176,0.77533,0.81183,0.62925,1.18203,0.71446,0.0022,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
48,21074.4,1.90158,1.16503,0.00177,0.84882,0.77681,0.81237,0.62984,1.18051,0.71361,0.0022,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245
49,21476.4,1.89856,1.16355,0.00175,0.84623,0.77553,0.81202,0.62937,1.17954,0.71069,0.00219,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
