epoch,train_loss,mannequin_recall,mannequin_recall_synthetic,tent_recall,fp_per_image,seconds
0,0.13422635473717986,0.5329787234042553,0.5329787234042553,0.8833138856476079,1.301904761904762,492
1,0.12758754646834738,0.6329787234042553,0.6329787234042553,0.9813302217036173,4.849523809523809,436
2,0.12585689192925384,0.08085106382978724,0.08085106382978724,1.0,18.81047619047619,427
3,0.12208291081238246,0.37659574468085105,0.37659574468085105,0.6312718786464411,0.35333333333333333,424
4,0.12047707316003332,0.48936170212765956,0.48936170212765956,0.9988331388564761,6.212380952380952,431
5,0.11957111506946297,0.30531914893617024,0.30531914893617024,0.5554259043173863,0.6485714285714286,479
6,0.11838674474498721,0.4329787234042553,0.4329787234042553,0.6802800466744457,0.4257142857142857,446
7,0.11848941840001354,0.551063829787234,0.551063829787234,0.9731621936989499,2.623809523809524,439
8,0.11622923642680084,0.4329787234042553,0.4329787234042553,1.0,27.99238095238095,425
9,0.11616836564345484,0.42872340425531913,0.42872340425531913,0.5157526254375729,0.46285714285714286,444
